Provincia	Provincia_sigla	% comuni diffusi	% popolazione	variazione % gennaio+febbraio 2020/ media 2015- 2019	variazione % marzo 2020/ media 2015- 2019	Decessi totali 20 febbraio-31 marzo 2020	Decessi totali 20 febbraio 31 marzo media 2015-2019	Decessi covid 20 febbraio 31 marzo 2020	Decessi covid / decessi totali 20 febbraio-31 marzo 2020	Pop prov	Decessi_Covid/pop*100
Lodi	LO	95.0	98.1	-3.3	370.6	1056.00	264.00	509.00	48.2	229413	0.221870600183948
Bergamo	BG	97.5	98.4	-6.5	567.6	6238.00	1180.00	2346.00	37.6	1112187	0.210935750912392
Cremona	CR	99.1	99.8	-6.3	391.8	1999	496	687	34.4	360444	0.190598262143357
Brescia	BS	98.0	98.9	-8.9	290.6	4450.00	1385.00	1574.00	35.4	1265325	0.124394918301622
Pavia	PV	94.1	97.0	-4.1	132.9	1614.00	789.00	513.00	31.8	547926	0.093625781583645
Mantova	MN	96.9	96.5	-8.4	122.1	1021	530	317	31.0	412868	0.076779987792709
Lecco	LC	96.4	97.8	-6.6	174.5	868.00	364.00	238.00	27.4	339254	0.070153925966975
Sondrio	SO	100.0	100.0	-3.8	74.3	380.00	240.00	87.00	22.9	181712	0.047877960729066
Milano	MI	96.2	98.1	-9.1	92.6	5990.00	3488.00	1459.00	24.4	3260000	0.044754601226994
Monza_e_della_Brianza	MB	94.5	97.0	-4.1	96.5	1528.00	868.00	359.00	23.5	871735	0.041182240015601
Como	CO	94.6	95.6	-5.8	64.2	1008.00	668.00	174.00	17.3	599654	0.029016732982687
Varese	VA	87.0	87.9	-11.0	28.3	1127	923	99	8.8	890090	0.011122470761384
